id_resultado;id_amostra;id_ponto_coleta;id_parametro;id_responsavel;data_coleta;data_analise;valor_resultado;id_limite;valor_minimo;valor_maximo;referencia_normativa;classificacao_resultado;possui_limite_referencia;indicador_nao_conforme;metodo_analise
1;1;1;1;3;2026-04-01;2026-04-04;7.2;1.0;6.0;9.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
2;1;1;2;3;2026-04-01;2026-04-04;120.0;2.0;;100.0;Limite didatico do projeto;Acima do limite maximo;1;1;Metodo didatico
3;1;1;3;3;2026-04-01;2026-04-04;5.8;3.0;4.0;;Limite didatico do projeto;Conforme;1;0;Metodo didatico
4;1;1;4;3;2026-04-01;2026-04-04;8.0;4.0;;10.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
5;1;1;5;3;2026-04-01;2026-04-04;25.0;5.0;;30.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
6;1;1;6;3;2026-04-01;2026-04-04;500.0;;;;;Sem limite de referencia;0;;Metodo didatico
7;1;1;7;3;2026-04-01;2026-04-04;27.0;6.0;15.0;35.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
8;1;1;8;3;2026-04-01;2026-04-04;420.0;7.0;;750.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
9;1;1;9;3;2026-04-01;2026-04-04;300.0;8.0;;500.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
10;1;1;10;3;2026-04-01;2026-04-04;2.0;9.0;;3.7;Limite didatico do projeto;Conforme;1;0;Metodo didatico
11;1;1;11;3;2026-04-01;2026-04-04;0.12;;;;;Sem limite de referencia;0;;Metodo didatico
12;1;1;12;3;2026-04-01;2026-04-04;0.3;;;;;Sem limite de referencia;0;;Metodo didatico
13;2;2;1;2;2026-04-01;2026-04-05;7.4;10.0;6.0;9.5;Limite didatico do projeto;Conforme;1;0;Metodo didatico
14;2;2;2;2;2026-04-01;2026-04-05;2.0;11.0;;5.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
15;2;2;3;2;2026-04-01;2026-04-05;6.5;;;;;Sem limite de referencia;0;;Metodo didatico
16;2;2;4;2;2026-04-01;2026-04-05;3.0;;;;;Sem limite de referencia;0;;Metodo didatico
17;2;2;5;2;2026-04-01;2026-04-05;10.0;12.0;;20.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
18;2;2;6;2;2026-04-01;2026-04-05;0.0;13.0;;1.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
19;2;2;7;2;2026-04-01;2026-04-05;25.0;14.0;15.0;35.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
20;2;2;8;2;2026-04-01;2026-04-05;250.0;15.0;;500.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
21;2;2;9;2;2026-04-01;2026-04-05;180.0;16.0;;500.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
22;2;2;10;2;2026-04-01;2026-04-05;0.8;17.0;;1.5;Limite didatico do projeto;Conforme;1;0;Metodo didatico
23;2;2;11;2;2026-04-01;2026-04-05;0.05;18.0;;0.1;Limite didatico do projeto;Conforme;1;0;Metodo didatico
24;2;2;12;2;2026-04-01;2026-04-05;0.1;19.0;0.2;2.0;Limite didatico do projeto;Abaixo do limite minimo;1;1;Metodo didatico
25;3;3;1;3;2026-04-02;2026-04-06;7.1;20.0;6.0;9.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
26;3;3;2;3;2026-04-02;2026-04-06;180.0;;;;;Sem limite de referencia;0;;Metodo didatico
27;3;3;3;3;2026-04-02;2026-04-06;1.0;;;;;Sem limite de referencia;0;;Metodo didatico
28;3;3;4;3;2026-04-02;2026-04-06;420.0;21.0;;350.0;Limite didatico do projeto;Acima do limite maximo;1;1;Metodo didatico
29;3;3;5;3;2026-04-02;2026-04-06;600.0;22.0;;700.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
30;3;3;6;3;2026-04-02;2026-04-06;100000.0;;;;;Sem limite de referencia;0;;Metodo didatico
31;3;3;7;3;2026-04-02;2026-04-06;29.0;23.0;15.0;40.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
32;3;3;8;3;2026-04-02;2026-04-06;1800.0;24.0;;2500.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
33;3;3;9;3;2026-04-02;2026-04-06;900.0;25.0;;1200.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
34;3;3;10;3;2026-04-02;2026-04-06;60.0;26.0;;80.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
35;3;3;11;3;2026-04-02;2026-04-06;10.0;27.0;;15.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
36;3;3;12;3;2026-04-02;2026-04-06;0.0;;;;;Sem limite de referencia;0;;Metodo didatico
37;4;4;1;2;2026-04-02;2026-04-07;7.3;28.0;6.0;9.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
38;4;4;2;2;2026-04-02;2026-04-07;40.0;29.0;;100.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
39;4;4;3;2;2026-04-02;2026-04-07;1.5;30.0;2.0;;Limite didatico do projeto;Abaixo do limite minimo;1;1;Metodo didatico
40;4;4;4;2;2026-04-02;2026-04-07;45.0;31.0;;60.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
41;4;4;5;2;2026-04-02;2026-04-07;120.0;32.0;;180.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
42;4;4;6;2;2026-04-02;2026-04-07;800.0;33.0;;1000.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
43;4;4;7;2;2026-04-02;2026-04-07;28.0;34.0;15.0;40.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
44;4;4;8;2;2026-04-02;2026-04-07;1200.0;;;;;Sem limite de referencia;0;;Metodo didatico
45;4;4;9;2;2026-04-02;2026-04-07;350.0;35.0;;500.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
46;4;4;10;2;2026-04-02;2026-04-07;12.0;36.0;;20.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
47;4;4;11;2;2026-04-02;2026-04-07;2.0;37.0;;4.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
48;4;4;12;2;2026-04-02;2026-04-07;0.0;;;;;Sem limite de referencia;0;;Metodo didatico
49;5;5;1;1;2026-04-03;2026-04-08;7.0;38.0;6.0;9.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
50;5;5;2;1;2026-04-03;2026-04-08;25.0;39.0;;40.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
51;5;5;3;1;2026-04-03;2026-04-08;6.0;40.0;5.0;;Limite didatico do projeto;Conforme;1;0;Metodo didatico
52;5;5;4;1;2026-04-03;2026-04-08;3.0;41.0;;5.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
53;5;5;5;1;2026-04-03;2026-04-08;12.0;42.0;;20.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
54;5;5;6;1;2026-04-03;2026-04-08;1500.0;43.0;;1000.0;Limite didatico do projeto;Acima do limite maximo;1;1;Metodo didatico
55;5;5;7;1;2026-04-03;2026-04-08;26.0;44.0;15.0;35.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
56;5;5;8;1;2026-04-03;2026-04-08;400.0;45.0;;750.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
57;5;5;9;1;2026-04-03;2026-04-08;250.0;46.0;;500.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
58;5;5;10;1;2026-04-03;2026-04-08;1.2;;;;;Sem limite de referencia;0;;Metodo didatico
59;5;5;11;1;2026-04-03;2026-04-08;0.08;47.0;;0.15;Limite didatico do projeto;Conforme;1;0;Metodo didatico
60;5;5;12;1;2026-04-03;2026-04-08;0.0;;;;;Sem limite de referencia;0;;Metodo didatico
61;6;6;1;4;2026-04-03;2026-04-09;7.6;10.0;6.0;9.5;Limite didatico do projeto;Conforme;1;0;Metodo didatico
62;6;6;2;4;2026-04-03;2026-04-09;8.0;11.0;;5.0;Limite didatico do projeto;Acima do limite maximo;1;1;Metodo didatico
63;6;6;3;4;2026-04-03;2026-04-09;6.8;;;;;Sem limite de referencia;0;;Metodo didatico
64;6;6;4;4;2026-04-03;2026-04-09;2.0;;;;;Sem limite de referencia;0;;Metodo didatico
65;6;6;5;4;2026-04-03;2026-04-09;12.0;12.0;;20.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
66;6;6;6;4;2026-04-03;2026-04-09;0.0;13.0;;1.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
67;6;6;7;4;2026-04-03;2026-04-09;24.0;14.0;15.0;35.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
68;6;6;8;4;2026-04-03;2026-04-09;320.0;15.0;;500.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
69;6;6;9;4;2026-04-03;2026-04-09;210.0;16.0;;500.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
70;6;6;10;4;2026-04-03;2026-04-09;0.9;17.0;;1.5;Limite didatico do projeto;Conforme;1;0;Metodo didatico
71;6;6;11;4;2026-04-03;2026-04-09;0.2;18.0;;0.1;Limite didatico do projeto;Acima do limite maximo;1;1;Metodo didatico
72;6;6;12;4;2026-04-03;2026-04-09;0.8;19.0;0.2;2.0;Limite didatico do projeto;Conforme;1;0;Metodo didatico
